000009503 Gatza, Marene 3.67 2021
764636697 Branyon, Wiam 1.44 2022
764650696 Russin, Ademar 0.16 2018
764651782 Hoffelmeyer, Snezhana 0.90 2020
764675637 Salomone, Nichita 2.31 2018
764685619 Neemann, Fan 3.52 2018
764690193 Chamber, Esmail 4.84 2021
764691424 Bayn, Yulanda 4.73 2020
764692872 Langowski, Lidya 2.41 2018
764693358 Trombetta, Rory 1.23 2019
764712458 Pesek, Lehbib 0.03 2021
764718213 Beeghly, Altagracia 4.40 2018
764730642 Tangren, Abdellahi 1.94 2022
764733569 Dahnke, Iacob 0.70 2021
764739944 Vandorien, Manasa 4.35 2018
764759722 Toussand, Jere 4.56 2021
764777737 Colona, Peñitas 1.75 2019
764780917 Uno, Marouane 2.22 2022
764782396 Aloia, Aurora 3.68 2020
764790820 Suppa, Agnus 3.07 2020
764799334 Fam, Grit 3.05 2022
764801809 Preciado, Tian 2.23 2019
764821031 Maruyama, Letty 0.55 2022
764851834 Hietala, Yamila 1.17 2020
764862264 Yeater, Haya 3.54 2018
764864010 Antenucci, Xiaoying 0.94 2019
764875754 Salata, Xiaoya 1.00 2021
764889336 Grisset, Miyoko 3.61 2019
764891350 Schopper, Sumaia 3.59 2020
764927299 Houpe, Huili 0.05 2022
764940660 Somvang, Giga 4.80 2020
764964488 Tuia, Illa 3.23 2018
764977077 Northcross, Valerian 0.80 2022
764996477 Martinie, Marwane 0.77 2019
765009427 Bulman, Marilda 2.05 2022
765024675 Mossel, Georgeta 2.27 2018
765037251 Stamas, Edinson 0.11 2021
765042623 Witcher, Clarena 0.79 2022
765050554 Samsel, Robina 4.74 2019
765054323 Colamarino, Matxalen 3.29 2021
765068560 Cliett, Jialin 0.58 2019
765071951 Crader, Mauricia 3.88 2020
765116622 Beeson, Wolfram 0.98 2019
765124497 Abed, Bosanski 3.22 2019
765127588 Feasel, Keira 2.11 2022
765131454 Mullendore, Samael 0.39 2020
765133442 Ruger, Mihaiela 1.82 2018
765143334 Lockbaum, Vanita 3.89 2022
765155870 Butkus, Hadrian 4.76 2019
765182780 Adling, Donatella 4.45 2022
765191079 Tanous, Garoafa 0.08 2020
765207710 Ode, Debbra 4.02 2019
765209073 Tam, Serviliano 0.06 2018
765224204 Srygley, Zan 2.11 2020
765235013 Mathey, Aleksander 1.48 2020
765239824 Picha, Preslava 3.20 2022
765277633 Tefera, Eghosa 2.99 2019
765302765 Mcclour, Ermengol 3.50 2020
765303718 Ribsamen, Montsant 2.41 2022
765315808 Hainley, Sherwood 2.09 2019
765323016 Capone, Hildebrando 3.59 2021
765343735 Katowicz, Moslim 0.79 2020
765356915 Dearstyne, Lakhvir 0.23 2019
765359361 Hemlepp, Beilei 0.96 2019
765376587 Leadbeater, Diosnel 3.32 2021
765414910 Predmore, Margert 3.98 2020
765417409 Goudelock, Samay 4.73 2018
765420193 Defee, Arantza 1.05 2018
765431826 Rogalski, Violetta 1.90 2021
765445359 Ezer, Hakob 3.97 2020
765445046 Inscoe, Elea 3.14 2021
765462285 Gramer, Esmael 4.56 2019
765469102 Sneider, Josafat 0.41 2019
765473013 Lagerquist, Zhiyuan 2.81 2019
765503102 Delcamp, Lizet 3.06 2019
765535313 Koehring, Arnaldo 1.88 2021
765539703 Meggison, Duberney 1.82 2022
765543588 Georgelis, Lazar 3.63 2022
765564960 Drakos, Teonila 4.59 2022
765585769 Myrlie, Arecio 2.54 2021
765587421 Gonsalez, Fayza 4.42 2021
765589511 Tattersall, Astghik 2.21 2022
765612629 Isales, Riasat 4.36 2018
765618055 Pandey, Stanimir 2.93 2022
765627471 Glasow, Vyara 4.83 2022
765640288 Rohrbach, Vernice 4.98 2020
765644127 Gattison, Else 1.07 2018
765669577 Damberger, Wenyuan 1.20 2018
765694729 Sibbett, Royer 1.10 2019
765712756 Cordoua, Kanchan 1.71 2018
765720975 Mccoll, Mouhamadou 1.81 2020
765728449 Kamens, Orest 3.65 2019
765737900 Mccowen, Xingyu 2.42 2020
765751846 Scarlett, Eudosia 1.08 2021
765766930 Paywa, Touria 3.70 2020
765767475 Bichler, Hanane 1.34 2020
765768076 Dunstan, Lawerence 4.41 2021
765778427 Goeman, Concesa 3.24 2018
765784626 Harang, Guasimara 3.46 2020
765793680 Greger, Viktoria 4.60 2022
765807285 Zugg, Adalbert 4.48 2020
765817085 Schneck, Giorgina 3.86 2021
765826107 Ellestad, Fatimatu 4.37 2020
765832679 Muckenthaler, Alima 0.39 2019
765833753 Burcham, Janean 1.29 2019
765845512 Nikocevic, Amilcar 2.56 2018
765849174 Bandle, Magda 2.50 2021
765850804 Carcano, Irine 3.31 2019
765857331 Mcconnell, Vianca 2.28 2021
765871606 Biersner, Jevgenij 1.46 2020
765874834 Klande, Moreno 1.17 2018
765892160 Badger, Hadia 1.09 2021
765901804 Darvile, Dayle 3.40 2022
765901802 Narkier, Shaomei 4.20 2022
765902906 Walters, Yaroslava 3.35 2019
765922474 Supino, Lindomar 0.61 2019
765923835 Gager, Mariama 2.48 2020
765932366 Kroon, Kewal 1.56 2020
765934715 Mozee, Estanis 2.06 2020
765954528 Kossman, Daiana 3.17 2018
765955235 Buschmann, Bernardine 0.05 2021
765955323 Macksoud, Laaziz 1.03 2019
765964827 Lichtenberger, Robert 2.61 2021
765969579 Wank, Hayate 2.62 2020
766021314 Helberg, Mahyuba 3.52 2018
766026669 Innocent, Nermine 0.15 2022
766033900 Gorglione, Michale 0.58 2022
766036916 Spataro, Slavomir 0.62 2019
766042677 Watring, Rodovica 3.60 2020
766052561 Kaetzel, Merida 3.98 2020
766053828 Kansky, Dayron 0.80 2021
766071719 Brabston, Rema 2.21 2018
766073517 Duhn, Jianbin 0.94 2021
766073039 Clusky, Oumnia 3.41 2019
766074045 Beedle, Timofey 2.07 2019
766083858 Cuddeback, Saturno 3.36 2022
766119698 Dumag, Dominique 2.43 2021
766119547 Cuestas, Shane 2.22 2019
766131888 Elston, Zonia 0.98 2020
766135817 Boer, Dobrita 4.25 2018
766140392 Kusuma, Myrna 1.15 2022
766150008 Boldosser, Tautvydas 2.88 2020
766155763 Villata, Otoniel 1.99 2021
766160703 Rolph, Nelu 0.51 2022
766172329 Borek, Drina 3.09 2021
766180242 Benyo, Crescente 2.92 2021
766183734 Mcentegart, Kamalatmika 4.39 2022
766184404 Killibrew, Micki 4.52 2018
766209568 Michael, Jorn 2.84 2022
766211539 Neudeck, Contacto 2.01 2018
766238795 Lenny, Seila 3.86 2020
766245376 Shunnarah, Mariasun 0.94 2022
766248017 Hissem, Oumayma 4.13 2022
766249759 Panchik, Xuejing 0.28 2020
766297173 Benitz, Dexter 4.50 2020
766300062 Schryer, Hyo 0.41 2022
766303669 Seay, Kelley 0.92 2020
766316911 Garth, Erling 2.76 2018
766328284 Loesche, Carmelina 1.40 2021
766334465 Rusert, Heidy 1.66 2019
766337721 Born, Aboubakar 1.51 2019
766345703 Brummet, Roeya 3.15 2021
766353649 Klancnik, Ylda 0.26 2022
766361606 Pisha, Roxanne 4.62 2018
766364237 Cantre, Anelis 0.83 2021
766367214 Waycott, Nalaya 2.00 2018
766371598 Hugus, Oralia 2.72 2018
766382705 Mach, Emese 2.02 2018
766388603 Mcdermond, Yaqin 2.42 2020
766389015 Sandall, Sancho 2.57 2020
766398856 Blois, Epigmenio 3.70 2021
766400379 Schouweiler, Bessie 2.51 2019
766402007 Feather, Lucica 2.55 2020
766402291 Lombel, Echedey 2.14 2021
766444864 Armelin, Lucelia 0.22 2020
766451717 Rubinstein, Jianling 1.23 2018
766467109 Frias, Haimei 3.33 2018
766469194 Kutt, Tayyab 1.38 2018
766471610 Bagnaschi, Arslan 3.86 2022
766479960 Haldeman, Yeremay 3.28 2019
766480631 Aspacio, Nirmal 1.05 2021
766490013 Bunch, Petya 1.20 2018
766506585 Chicas, Darko 4.50 2022
766516713 Kaufmann, Shae 1.15 2022
766520653 Borkin, Liming 4.15 2022
766542938 Torrens, Nayib 3.14 2019
766550074 Yagues, Roselyne 1.57 2021
766552317 Engessor, Nory 2.65 2018
766554636 Polich, Guia 4.74 2019
766561107 Blecker, Bernadi 2.49 2020
766562141 Stater, Jiarui 4.36 2021
766569191 Manring, Estera 0.25 2019
766572817 Kujawski, Marbelis 3.66 2020
766575930 Wollert, Joey 4.14 2020
766582959 Gerundo, Beverlee 0.32 2018
766602579 Ourth, Sparkle 1.86 2021
766628086 Swenk, Tareq 4.40 2019
766629245 Iveson, Enma 2.06 2022
766635579 Trossbach, Dennys 3.73 2022
766640078 Freshley, Elicinia 4.78 2018
766652438 Motzer, Erhimo 1.42 2022
766656738 Bolde, Mandi 2.33 2019
766674412 Distaffen, Severina 1.63 2020
766687385 Uher, Katrice 4.14 2019
766694848 Hoak, Imre 0.94 2020
766707754 Adle, Batoula 2.94 2018
766733053 Boldon, Jacobus 2.15 2022
766740482 Larney, Apollonia 3.37 2018
766742636 Stubblefield, Millaray 3.30 2018
766750633 Trullinger, Loris 2.76 2018
766775455 Nathoo, Melaine 3.89 2021
766789870 Dombrosky, Sylvia 2.85 2022
766791616 Lamont, Yulieth 4.03 2022
766792411 Silletto, Costache 3.89 2022
766798513 Zammiello, Christine 1.94 2021
766805279 Kwit, Zhenyu 4.51 2021
766808266 Quincey, Glyn 1.90 2020
766809632 Mcguire, Yvelisse 3.33 2020
766812440 Wiborg, Yen 4.53 2019
766838689 Sixtos, Nieve 1.50 2022
766857153 Schofill, Doha 0.15 2020
766862858 Gossage, Wadii 1.33 2022
766863896 Salvatori, Gunnar 4.96 2022
766874817 Eakins, Petronio 0.16 2019
766881924 Pardue, Jaganatha 4.02 2021
766884847 Poth, Xiaoqiu 3.71 2022
766888498 Kirkendoll, Nikolaev 1.19 2021
766896641 Bour, Nallua 3.09 2020
766905154 Zaspel, Ekhine 4.16 2018
766921354 Seckinger, Abdenasser 3.25 2018
766925966 Lillick, Tsonka 2.84 2019
766927790 Engelmeyer, Sahara 3.59 2018
766929030 Oreb, Collin 4.86 2022
766935307 Aveni, Eudochia 1.75 2021
766939396 Bjerke, Andriyan 0.01 2019
766942319 Mcgary, Yumara 4.64 2022
766961646 Fromm, Ionatan 1.03 2022
766971750 Whitlock, Ursicio 4.54 2019
766982303 Onstott, Joerg 3.26 2022
767001148 Golz, Magne 3.27 2022
767018857 Daws, Carma 2.79 2018
767027440 Delgrande, Inga 1.25 2018
767036871 Lukes, Klavdiya 0.36 2022
767069451 Vosper, Pura 4.34 2020
767090401 Wareheim, Katlyn 0.38 2018
767102523 Reck, Umer 0.43 2021
767120410 Holleran, Atanasia 2.01 2018
767120806 Gardecki, Diamantina 2.48 2019
767121302 Semenza, Amanat 4.07 2021
767126126 Thuringer, Khadijah 3.04 2022
767136923 Asken, Krum 3.63 2018
767144097 Hasgill, Erasma 2.31 2021
767147101 Oh, Tashina 2.06 2019
767156815 Hodel, Riccardo 0.43 2021
767175417 Dormanen, Holly 4.74 2018
767178012 Caroway, Zulima 3.47 2019
767191059 Howen, Rhys 1.74 2021
767205170 Bleecker, Miqueas 1.93 2018
767215811 Koba, Aristarco 2.35 2020
767238848 Adelman, Coreen 0.13 2019
767242709 Descamps, Markel 3.55 2018
767267458 Brodine, Virginie 3.86 2019
767282477 Marruffo, Siria 2.33 2018
767293573 Norberg, Eleonora 2.92 2018
767301581 Drey, Connor 2.21 2020
767307684 Basques, Homer 4.23 2020
767308448 Fipps, Shin 2.89 2019
767365309 Mayorga, Twanna 3.92 2021
767370200 Bolin, Rosita 0.06 2018
767375187 Andrle, Semen 3.46 2021
767384274 Moura, Kebba 4.19 2019
767393714 Ruffcorn, Soufian 2.23 2022
767394750 Staudenmeier, September 4.89 2019
767426425 Kleeman, Mudassar 4.89 2019
767431767 Holbert, Yonatan 2.80 2021
767460607 Archuleta, Wenbo 2.66 2022
767477253 Scharff, Vallivana 4.76 2019
767487174 Vanveldhuize, Yibo 2.48 2021
767489665 Lafontant, Jolanda 3.01 2020
767494736 Marinelli, Massin 2.63 2020
767509490 Frisch, Khatima 1.67 2022
767510025 Menhennett, Shahid 3.65 2021
767525903 Alvaro, Magnolia 2.93 2021
767544830 Drafton, Adrienn 0.31 2018
767549716 Sweeden, Yaroslava 1.79 2020
767554369 Goldhammer, Evilia 1.04 2021
767560642 Gavaldon, Lucretia 0.12 2020
767564406 Konger, Aleksandrov 1.32 2018
767568333 Brockenberry, Keri 0.69 2019
767569205 Rellihan, Austin 4.20 2018
767580259 Morin, Angelova 2.21 2021
767590033 Seilhymer, Sinuhe 2.42 2018
767601229 Griesmeyer, Elodia 1.10 2022
767605490 Berardino, Basiru 1.48 2019
767609015 Scites, Giulio 4.94 2019
767617644 Hosey, Aiyong 1.77 2019
767634979 Duncil, Adell 1.13 2019
767639666 Kalbach, Kathey 0.32 2022
767648990 Bisikirski, Brian 4.72 2021
767660148 Renteria, Teodula 2.28 2021
767678548 Wiltfong, Brock 2.26 2021
767678203 Brutsch, Iru 1.91 2019
767691705 Luangamath, Reimundo 4.65 2021
767716064 Flickinger, Fettoum 2.83 2019
767744544 Woodka, Fikret 3.77 2018
767762746 Kazeck, Rolan 0.12 2022
767769852 Kort, Gena 1.75 2022
767781560 Boshard, Isabelle 0.17 2019
767795208 Rengel, Humaima 3.50 2020
767817351 Laychock, Puerto 3.70 2018
767825868 Thody, Anjela 3.07 2022
767847783 Essaff, Diosinda 3.72 2018
767847741 Delay, Xiuqin 4.64 2022
767851714 Puente, Wassila 3.37 2022
767862580 Maccarone, Contessa 1.00 2019
767885244 Jaruis, Lise 0.32 2020
767892032 Krejcik, Antal 4.85 2018
767907863 Pinnock, Graig 4.54 2019
767908937 Papen, Wiaam 2.98 2019
767911905 Cashett, Naara 0.92 2022
767914759 Cheevers, Karisa 0.66 2021
767928538 Langsdale, Casimira 4.41 2020
767931377 Bartkowski, Bertina 2.38 2019
767938491 Newbern, Jamil 4.81 2018
767945284 Karpel, Ziyi 1.28 2022
767954548 Gullace, Efidencia 3.28 2020
767955080 Japak, Belleda 0.91 2021
767973862 Kuks, Ivey 1.82 2022
767980889 Saintfleur, Alagie 3.08 2020
768001120 Henby, Bjorn 3.35 2018
768016747 Chebret, Else 4.99 2018
768017294 Kiritsy, Karamat 1.12 2019
768026719 Shortsleeve, Tatjana 2.27 2019
768027336 Arenburg, Brenna 1.43 2019
768034636 Sprowl, Elzbieta 4.41 2022
768038867 Jatho, Milene 1.18 2019
768049930 Decaro, Ivona 1.91 2020
768052493 Sudan, Neely 3.33 2020
768061450 Landsman, Dann 2.43 2022
768066167 Gettinger, Nacor 3.58 2020
768097683 Core, Xiulian 3.57 2022
768111396 Streit, Zinab 0.04 2018
768120153 Wollan, Olayo 3.95 2020
768120310 Krupicka, Moufida 4.69 2018
768126630 Mcglade, Gwendoline 2.98 2021
768129516 Second, Calina 3.18 2019
768135795 Kelash, Yaping 2.46 2020
768136647 Pew, Alta 4.85 2022
768152604 Westerbeck, Miklos 2.36 2021
768161438 Delliveneri, Krassimire 1.13 2022
768167581 Clunes, Lianna 3.92 2018
768169377 Theriot, Anelia 1.27 2022
768189206 Marschel, Narjiss 2.06 2019
768223438 Whiteman, Hassana 0.17 2019
768228524 Esbenshade, Mimunt 3.12 2022
768239595 Adragna, Delphine 0.11 2020
768243075 Mccallie, Arecio 4.88 2021
768244013 Schueth, Argemiro 4.25 2018
768245614 Chiapetti, Atena 1.20 2018
768248189 Eich, Afia 4.38 2022
768250888 Elderidge, Coralia 3.32 2020
768264824 Hartigan, Denise 4.62 2018
768267789 Pehrson, Magdalen 1.49 2019
768276866 Tith, Miklos 0.69 2022
768282859 Zavesky, Torie 0.82 2020
768285667 Fattig, Ouissal 4.85 2018
768287365 Meinhard, Juhani 2.58 2020
768290329 Vacante, Primitivo 0.77 2018
768317904 Bursell, Alireza 3.51 2019
768330812 Czernik, Shuangjun 1.75 2022
768351377 Chiarello, Johnna 0.56 2019
768352315 Keaney, Wilfrido 0.70 2022
768361993 Francy, Bhagwan 1.03 2022
768372093 Seldomridge, Maxym 2.66 2019
768378561 Hornick, Zara 3.67 2020
768388205 Cusumano, Melek 4.90 2022
768397209 Marotti, Yedra 3.75 2021
768402572 Wafula, Hakima 3.52 2021
768414438 Tortorelli, Natanael 3.30 2020
768429368 Garve, Wendi 2.26 2020
768434990 Eklund, Helle 0.44 2022
768450446 Fuschetto, Delaine 0.51 2018
768460436 Wehbe, Dritarastra 2.45 2019
768469706 Armato, Jianqing 2.93 2019
768482842 Oeder, Amaia 1.85 2021
768490081 Recek, Tuyet 4.02 2021
768500671 Solymani, Hai 3.95 2019
768508111 Pama, Tammara 3.62 2020
768549812 Digiovanni, Debla 0.75 2019
768551656 Storts, Hosam 0.95 2019
768557376 Leabow, Latino 3.48 2020
768561403 Raschke, Hoda 4.74 2021
768567059 Hardine, Callum 3.25 2018
768569749 Whorley, Sadou 2.05 2022
768571094 Logel, Luba 0.36 2021
768578468 Suffridge, Huifen 0.85 2018
768579218 Normington, Bibian 2.42 2018
768580775 Ivel, Abdourahman 1.10 2019
768625199 Ellstrom, Vergelina 1.47 2020
768632709 Brodes, Ohiane 0.62 2018
768653836 Dimperio, Ritva 3.89 2020
768666508 Roda, Glendora 2.38 2020
768694946 Tudor, Candid 3.67 2021
768700722 Tillis, Magalis 1.89 2022
768701105 Nicoles, Melissa 4.19 2019
768702744 Dvorak, Bendaoud 4.67 2018
768703344 Kabala, Bubakar 1.77 2021
768726785 Pocklington, Yuxiang 4.29 2020
768730488 Stogden, Bose 1.35 2022
768740668 Gleeson, Anas 1.88 2021
768750625 Struiksma, Lluch 1.82 2020
768755616 Shuford, Parascovia 0.39 2018
768763678 Dwelle, Milagro 3.50 2021
768770492 Knife, Bikram 1.37 2020
768780778 Wingate, Luftolde 1.97 2019
768811447 Bady, Yamilex 1.26 2018
768812884 Yagle, Jaro 3.64 2020
768815832 Casida, Fabienne 1.38 2018
768846214 Spicher, Anyelina 3.83 2020
768847584 Delgreco, Trinidad 4.16 2019
768850685 Manassa, Helmuth 4.36 2018
768883374 Weikel, Biao 3.60 2021
768900399 Nitzsche, Michelangelo 0.34 2019
768902250 Silcott, Katiane 4.60 2022
768935367 Puig, Ghita 0.81 2020
768936139 Liss, Prudence 0.43 2018
768944089 Merlini, Abdelhaq 4.18 2022
768948353 Okuniewski, Agora 1.07 2020
768951004 Mchale, Nataliia 0.95 2022
768954621 Tebbs, Sylvester 3.40 2022
768962986 Rathbun, Geovanny 0.36 2018
768964303 Detamble, Teodocia 2.68 2020
768977526 Koneval, Lucinda 3.27 2022
768982399 Ealick, Nabia 2.79 2021
768986887 Sparling, Daksha 0.14 2019
769015204 Labreck, Mine 2.05 2019
769051540 Sawczyszyn, Yung 4.60 2022
769066921 Ringhouse, Carlee 0.20 2019
769074507 Rathmell, Dolly 3.49 2020
769074783 Sharrer, Josuha 3.16 2021
769090062 Genz, Khedidja 0.10 2021
769099757 Dumouchel, Ebony 1.33 2019
769099132 Pidcock, Chrifa 2.58 2022
769103840 Langanke, Bintu 2.69 2019
769128020 Wohlfeil, Jackelyn 3.99 2020
769131007 Laselle, Birte 3.90 2020
769135593 Eastwood, Visitacion 0.57 2020
769142024 Lelonek, Gilmar 2.67 2019
769149351 Rowser, Alain 1.98 2018
769149528 Bartlebaugh, Bintu 4.38 2020
769153520 Densford, Valdemir 2.42 2021
769158453 Ennen, Leopoldo 2.63 2019
769172338 Negrete, Tona 2.85 2018
769203853 Sawinski, Bronislaw 3.67 2022
769215793 Pesner, Dickson 2.59 2022
769222303 Trunzo, Suliman 0.84 2020
769235635 Deese, Chester 0.47 2018
769240257 Thornborrow, Mei 4.58 2019
769316066 Dangelo, Portal 1.98 2021
769317583 Powells, Lucille 3.16 2021
769351378 Feng, Fengmei 0.31 2020
769368697 Kubo, Jenny 4.08 2018
769370429 Wenstrand, Hanne 3.13 2022
769386917 Gehling, Anis 1.66 2022
769388427 Ebling, Norddin 4.18 2020
769409597 Vanderburg, Aroa 1.54 2020
769417548 Chesla, Floarea 3.25 2020
769419090 Brimhall, Evangeline 2.84 2021
769427505 Tallerico, Agenor 3.97 2021
769433495 Nahari, Graziela 0.03 2020
769440496 Corsilles, Delsie 0.93 2018
769458445 Lickfelt, Demian 1.48 2022
769461410 Caal, Cristeta 3.63 2020
769469240 Greenbacker, Petyo 4.77 2020
769473755 Bellefeuille, Tudorina 0.93 2018
769485374 Shapard, Mary 4.91 2018
769485698 Bolda, Renita 4.24 2022
769488815 Chainey, Annmarie 2.18 2018
769507978 Hugee, Alejandrina 3.55 2018
769511279 Agins, Pamela 3.52 2022
769511927 Lawlor, Claudette 3.65 2019
769511864 Ahlo, Everaldo 3.00 2018
769524284 Padmore, Malisa 4.09 2018
769533045 Rainey, Alaide 2.49 2020
769556894 Flora, Abbey 2.81 2022
769562059 Brazzell, Safia 4.04 2022
769602068 Coradi, Sanson 0.62 2020
769635720 Mckinnon, Intissar 2.32 2019
769653393 Montembeau, Suhua 0.49 2018
769655653 Fereira, Artiom 0.18 2019
769658294 Sanlatte, Mattias 1.18 2022
769694214 Mindell, Lucrecio 1.63 2020
769697411 Heggins, Encarni 0.87 2020
769699565 Godek, Walburga 0.05 2022
769709711 Ulses, Lucinda 1.34 2019
769723846 Pinnell, Catherine 2.65 2020
769734171 Malagisi, Aurore 3.07 2021
769746092 Fonteno, Alpidia 3.29 2022
769750800 Karl, Abulai 2.74 2021
769754515 Kiley, Genica 1.17 2022
769777814 Moncier, Gytis 2.41 2022
769780568 Garns, Kittie 3.78 2021
769805314 Teissedre, Xiaoming 1.29 2022
769810127 Karsten, Augustin 4.14 2019
769814151 Lazarz, Monika 1.82 2022
769828890 Ciraolo, Mihaly 3.00 2021
769831358 Bourdeaux, Darla 4.13 2021
769853093 Fundora, Janyce 2.10 2019
769855598 Mccrimon, Johny 1.25 2019
769866854 Fassler, Shuang 4.74 2018
769879367 Pinc, Milene 2.18 2020
769890576 Sandstede, Bujor 3.32 2018
769893305 Gayfield, Argimiro 2.60 2018
769895573 Feeler, Mandita 2.74 2018
769909802 Argenal, Stephania 2.51 2018
769917161 Loeckle, Xantal 3.21 2022
769917549 Junius, Macie 2.98 2018
769925130 Pinkley, Chuan 2.67 2020
769927671 Birchall, Thibault 1.42 2020
769938095 Jankowiak, Chengjie 0.31 2019
769948403 Pfirsch, Drazen 1.61 2020
769951348 Klotzbach, Anselmo 2.87 2018
769961536 Yoho, Sylla 1.42 2018
769979693 Charest, Zolikha 4.65 2021
769985683 Arrendell, Yeimi 2.53 2022
769988384 Depina, Danka 4.15 2022
769989272 Rinde, Elena 3.57 2022
769995194 Wunderle, Amilcar 3.79 2021
770000174 Riddley, Nicomedes 1.35 2019
770001553 Purkhiser, Ricky 1.03 2021
770020332 Scheumann, Xinhao 3.95 2019
770021729 Lightner, September 4.72 2022
770034962 Semone, Milagro 3.00 2018
770035436 Macek, Peace 1.50 2019
770058620 Enriguez, Mine 1.47 2022
770082910 Nuncio, Weiqin 1.17 2021
770083674 Barlowe, Raphaela 3.53 2019
770092802 Jines, Bernardus 4.83 2019
770093857 Berrien, Norberta 2.77 2020
770101389 Sprenkle, Veronica 0.22 2021
770120930 Chinault, Kalil 1.08 2019
770126786 Amoroso, Plinio 4.35 2018
770129889 Modero, Zeinabou 0.23 2022
770132865 Mccasland, Asma 2.02 2022
770136052 Katzmann, Jerold 3.57 2019
770146602 Queal, Eufrosina 3.28 2018
770161810 Newmon, Minghua 3.56 2018
770168818 Nott, Jann 3.28 2018
770170895 Tauarez, Hristinka 3.27 2020
770183166 Smutz, Anastasi 4.22 2020
770204881 Tereska, Kermit 0.28 2018
770207085 Hagadone, Zlatka 1.80 2019
770208524 Mccary, Romero 1.81 2021
770214658 Mesta, Liseth 2.80 2022
770255304 Stanly, Musa 4.59 2022
770262553 Bocook, Alea 2.88 2019
770270554 Kapp, Kathlyn 2.14 2020
770274999 Sering, Beniamin 2.27 2018
770279716 Merriwether, Khalida 0.34 2018
770298377 Munl, Linos 3.21 2021
770314078 Ravo, Alhagi 2.82 2020
770317578 Niggemann, Myrtis 0.10 2018
770319418 Czyrnik, Simohamed 2.31 2018
770322830 Melich, Alf 1.28 2019
770323847 Ledet, Olmo 0.39 2020
770350370 Martellaro, Raveca 0.35 2018
770350570 Direnzo, Angelico 2.30 2022
770358943 Preli, Noelle 0.80 2018
770358573 Madock, Policarpa 0.38 2020
770359930 Meggitt, January 4.57 2022
770367440 Natsis, Paciencia 2.60 2018
770381522 Whittet, Hilma 2.71 2020
770385189 Kadow, Eladia 0.89 2022
770399601 Mcdunn, Agnelio 2.82 2022
770412584 Skeeters, Bennasser 1.31 2018
770423130 Childrey, Gerai 4.69 2020
770442598 Haken, Costantin 2.72 2019
770443962 Molineaux, Darcel 1.28 2022
770462463 Montalbano, Russel 0.84 2018
770479458 Stocke, Oneka 0.11 2021
770483306 Mozee, Jacquline 4.98 2019
770494520 Meach, Urtza 2.27 2020
770517087 Kappe, Jessyca 4.88 2019
770520527 Rattanasinh, Craig 1.20 2018
770524067 Fogt, Bacary 4.75 2018
770551051 Steever, Antoan 4.08 2022
770561940 Manlangit, Daylin 1.68 2022
770566277 Schuiling, Nayla 3.66 2020
770592255 Dendy, Madhu 4.54 2022
770593501 Alberta, Sumia 1.22 2020
770598869 Schwingler, Consolacio 4.95 2022
770607789 Sease, Snezhanka 2.12 2018
770614253 Clock, Hassen 4.34 2022
770615194 Catella, Ahmedou 3.33 2019
770632727 Sumeriski, Williemae 2.83 2020
770637986 Galuski, Iosif 3.16 2019
770658139 Gaunce, Blanch 3.78 2022
770661169 Rampulla, Ghali 3.91 2021
770675924 Dillenburg, Jae 3.02 2020
770689995 Plassmann, Gal 4.83 2021
770717551 Casario, Gaieta 2.48 2019
770721545 Gussow, Dan 2.86 2021
770761501 Foth, Martha 0.70 2021
770777785 Duree, Maryland 2.49 2020
770778150 Detjen, Luisana 0.40 2022
770794075 Encallado, Ubalda 4.28 2019
770802249 Lovejoy, Petko 2.02 2019
770809329 Hatchett, Delicia 1.81 2019
770817328 Bourland, Azzeddin 4.03 2022
770817807 Mcnicoll, Wael 1.91 2022
770825298 Krisman, Sanjuana 0.44 2018
770825361 Deveyra, Scott 4.30 2018
770829529 Spike, Anacleto 2.40 2022
770856296 Jans, Daoiz 1.50 2018
770865012 Tirado, Giselda 0.76 2022
770877697 Muskrat, Epigmenio 1.33 2020
770879266 Sisti, Oleta 0.93 2020
770896825 Sneider, Csaba 1.95 2021
770920518 Hasch, Kalyn 0.80 2018
770949500 Buster, Manpreet 4.87 2021
770959970 Kawasaki, Lenuta 2.66 2019
770965217 Buttrick, Jill 3.89 2022
770973122 Neave, Dietmar 2.86 2022
770974047 Gederman, Millie 0.79 2021
770975684 Stan, Yuliet 4.01 2021
770977048 Quiet, Walaa 3.17 2022
770982389 Deniro, Zarko 1.61 2020
770984092 Sayco, Zelai 4.74 2022
770986784 Brostoff, Sadou 2.31 2021
771006325 Kraig, Mileidy 4.50 2019
771008057 Glazebrook, Junhao 0.66 2018
771008075 Peloso, Rachyd 2.01 2020
771009186 Milnik, Barb 0.85 2020
771010725 Sakaguchi, Evilia 0.31 2022
771025128 Staab, Stanica 1.55 2022
771029683 Fayne, Graças 0.49 2018
771030516 Chavez, Cyrus 2.11 2020
771062518 Degrandpre, Gurutze 1.89 2020
771081999 Kitten, Babette 2.90 2019
771087935 Fentress, Shemika 2.94 2020
771089186 Gastelum, Sherlyn 3.38 2018
771100033 Rosenbarger, Ha 3.76 2021
771103810 Sil, Marianna 4.91 2022
771109659 Manuelito, Edilio 2.06 2021
771109463 Gerdiman, Nouhad 4.37 2019
771109405 Holster, Daryna 1.34 2018
771123015 Pascall, Anatolia 3.15 2022
771132756 Gwalthney, Anicet 2.71 2018
771136397 Rougier, Delfina 2.76 2020
