100000
354709573 Devonshire, Andoni 1.35 2020
752660192 Stockfisch, Tibisay 4.91 2020
789704587 Hoganson, Roslyn 2.28 2018
174529723 Mcneme, Tsetska 0.01 2021
187751434 Riogas, Ardella 2.82 2018
765619294 Vinas, Marcolina 3.58 2020
815207049 Eveland, Vladimira 1.85 2018
993145873 Barrom, Tanisha 1.00 2020
808855115 Palmour, Isiah 2.21 2022
055391609 Regen, Mendy 4.19 2021
747484764 Seiner, Palmira 4.88 2019
413345941 Tretter, Jonna 1.37 2019
547310490 Daffern, Balla 2.92 2022
326608177 Klinski, Mamady 2.57 2020
072724204 Sebring, Libby 0.15 2020
815456392 Piasecki, Miguel 0.36 2021
142216061 Zelonis, Abelio 1.95 2022
612295401 Isaack, Beauty 4.17 2021
517305990 Calabretta, Luvenia 3.56 2021
404511986 Kirschman, Mammie 3.36 2022
919993290 Sespinosa, Kaixin 1.95 2019
970996972 Stradford, Mardell 0.30 2018
589559640 Gunnarson, Filomena 1.28 2019
372332010 Coch, Nadim 1.88 2018
078834069 Scrivner, Klaus 4.14 2022
668200479 Hardinger, Ammar 3.35 2019
037253938 Wiebusch, Nam 0.60 2022
883265338 Suozzo, Ramdan 0.06 2020
575294280 Mitchem, Edisson 0.90 2019
546870287 Burnard, Collene 4.47 2019
397356179 Bowthorpe, Sinesio 2.84 2022
674281188 Legette, Slama 0.41 2019
995788270 Fluaitt, Evangeline 4.26 2021
361611816 Dubbs, Nadjet 0.99 2019
718323073 Menucci, Ton 1.08 2019
338373614 Shandley, Albert 1.95 2021
821883733 Stuekerjuerge, Ingeburg 4.62 2022
063237507 Luchenbill, Etna 4.66 2018
430699337 Timbs, Reginia 4.72 2020
353492573 Garacia, Bin 2.05 2018
430164551 Ribiero, Cleonice 1.14 2021
372989781 Niziolek, Heba 0.20 2019
804843915 Beacher, Marion 3.43 2020
392385266 Pery, Edit 3.54 2021
514743128 Duel, Dinah 0.34 2022
668645345 Angeline, Vallie 2.02 2022
675988342 Overbeck, Salwa 4.90 2018
590933274 Rolseth, Maike 1.09 2019
313884072 Bushby, Crispula 3.77 2019
601987695 Randhawa, Qaiser 0.26 2018
217840525 Clerkley, Maud 3.08 2022
236451495 Sarantakis, Rickey 1.38 2021
433591522 Schrier, Jozef 3.12 2018
695829248 Berreth, Vitalijs 0.30 2018
510360443 Mccleese, Elieser 2.77 2021
800391981 Hollenshead, Kathya 3.32 2021
453328744 Brimer, Senen 2.19 2018
404759268 Minning, Wassima 2.70 2019
836847109 Qualheim, Asmaa 1.11 2020
501184085 Deanda, Sounia 4.74 2022
172780260 Conerly, Verlene 0.35 2018
179050634 Brazier, Lisandro 3.54 2022
147210029 Ludington, Vitalia 2.50 2020
147511212 Maring, Gonçalo 3.78 2018
425800555 Barrera, Founeke 0.04 2021
875528741 Mckeeman, Sean 2.25 2018
880701686 Hagenbrok, Madge 0.72 2018
944195655 Cordy, Abdellahi 2.66 2022
038020744 Wieting, Suely 3.33 2021
487422366 Skidgel, Alane 2.03 2022
724965073 Capelo, Desamparados 4.94 2020
661488045 Velasco, Chantay 3.21 2019
266893013 Kauppi, Purificacio 2.71 2022
266373252 Scelsi, Montsant 4.66 2022
424378746 Mabane, Ambros 0.79 2019
159151647 Lesneski, Ivanete 2.56 2021
270335403 Pax, Ousainou 0.78 2019
985301479 Feucht, Zebenzuy 4.11 2021
408616514 Wedd, Cierra 2.94 2022
451624618 Glisson, Loles 4.00 2020
349466473 Derouchie, Verline 1.25 2019
284113051 Hoogheem, Xavier 4.90 2019
732924598 Muskrat, Aratz 1.95 2021
122694316 Cerqueira, Joetta 1.41 2018
980730718 Duncombe, Clemira 4.73 2020
950336281 Dagnone, Aiza 3.20 2020
018539338 Pimenta, Cristofher 1.08 2020
386096044 Fechtel, Libbie 2.25 2018
487887140 Sattlefield, Hanza 3.32 2018
525623046 Dewick, Faycal 0.40 2018
815601324 Burland, Apolinaria 1.81 2020
942726981 Roeker, Eliam 2.03 2018
712033036 Babione, Sabastian 0.94 2022
267113901 Pucciarelli, Kerena 4.96 2020
843531175 Barganier, Guofeng 2.20 2022
847278469 Lafratta, Ruthann 4.32 2021
267462650 Cardinalli, Jianmei 3.96 2019
124952580 Caira, Shani 0.21 2020
486392727 Trostel, Ibolya 2.44 2018
069301953 Tenhaeff, Hilaria 3.37 2018
795374364 Northcote, Daryl 2.20 2021
447296190 Melso, Inocencia 1.49 2021
456362928 Torreson, Marlene 4.32 2020
516536646 Branen, Lea 1.92 2018
190268564 Timone, Luisina 4.88 2019
840977795 Considine, Jinhong 2.30 2019
283667847 Egley, Idalina 4.14 2019
728126477 Olarte, Ramandeep 4.48 2022
508185818 Sagoes, Deane 3.77 2019
310383159 Shibata, Nozha 0.05 2018
687659643 Zieman, Grzegorz 2.65 2020
137996839 Buffington, Priscilo 1.67 2021
248396500 Darland, Mason 2.65 2018
604808001 Schoenhard, Olexandr 2.32 2021
475996040 Huxley, Talisha 1.03 2019
240846514 Joganic, Hmad 3.68 2022
379706928 Helfer, Afifa 2.03 2018
632407634 Joachim, Sebastian 0.62 2020
721590128 Schlobohm, Felisardo 2.94 2018
010402414 Mahle, Edilene 0.68 2022
660512848 Devey, Shady 1.96 2018
066544616 Ana, Isora 3.63 2020
392353622 Washinton, Thanh 0.21 2021
389562837 Sephus, Cordelia 0.25 2018
544711105 Kepler, Aouda 3.06 2022
532931565 Pilgrim, Iosua 2.34 2021
228640700 Masino, Lahoucine 3.36 2020
591311777 Luvene, Khaoula 1.51 2021
824512015 Stirna, Dusan 1.66 2019
243257512 Magnetti, Frida 4.46 2022
428941011 Bobier, Lamiita 2.26 2020
535955611 Escarcega, Clemente 2.38 2020
658323210 Laberpool, Elmo 4.66 2018
327693884 Dula, Nuno 0.59 2021
456040323 Beukelman, Hazel 3.56 2020
269958054 Kenneally, Arianny 0.69 2020
965113120 Stoneburner, Margarit 2.57 2019
637968682 Jares, Zaid 4.23 2019
002125525 Viele, Beñat 2.53 2019
360514969 Tretera, Avram 1.45 2018
941070421 Bohannon, Aaya 1.14 2020
378299720 Biello, Savina 2.32 2020
853557752 Dobesh, Tfarah 0.67 2020
282701010 Bolen, Philip 1.47 2018
998044873 Mebus, Orfelia 1.98 2020
366087398 Raemer, Venecia 2.71 2022
324116512 Markevich, Vivien 3.43 2018
948845626 Dinovi, Simone 3.74 2018
561104453 Marek, Kathleen 1.72 2020
017128775 Marsden, Damyan 3.83 2022
589304547 Chatten, Suman 3.39 2019
887033770 Jared, Patrycja 2.69 2019
327581023 Kaps, Fernandina 1.45 2019
381460414 Hurni, Chunhua 1.47 2022
028380960 Puertas, Ouisal 4.59 2019
780704773 Cuff, Nafissatou 2.19 2022
081023959 Schnopp, Rodel 4.56 2019
005821137 Bovell, Micha 1.17 2020
853699072 Scharler, Dagmara 1.43 2018
396462300 Neverman, Marchelle 1.79 2018
716248868 Srader, Latrisha 0.40 2020
687694348 Moyle, Helenca 3.67 2020
226040598 Seuss, Anxel 3.73 2018
333167363 Supple, Licerio 1.81 2018
272785869 Wable, Yelko 4.69 2018
431911586 Sambucetti, Setsuko 4.79 2020
872884190 Mcgehee, Rashida 3.86 2021
880198062 Rheinschmidt, Corie 1.44 2022
412106138 Leith, Marybel 4.43 2019
813794247 Womac, Adolfina 4.19 2019
795032068 Adwell, Laudelino 2.53 2022
672911100 Newland, Andriu 3.84 2020
918142399 Degennaro, Evangelia 0.25 2018
020266207 Salone, Billye 1.18 2019
619299084 Perine, Mariona 1.34 2019
037049579 Knightly, Shannon 0.24 2019
772446347 Gesner, Jatin 3.53 2022
850729013 Tiedt, Margarita 3.81 2021
468576243 Bischof, Sven 2.88 2020
746057613 Termilus, Reinaldo 4.78 2022
453804140 Kalbfleisch, Bixia 2.94 2018
660468581 Mcgathy, Isael 0.55 2022
098812512 Ginnis, Ioan 3.08 2020
626588750 Massie, Isamara 4.44 2019
932788786 Yearsley, Will 1.47 2020
335684491 Stotesberry, Samah 1.77 2020
123040213 Steinfeldt, Weijie 0.21 2020
224552898 Kines, Corene 2.83 2018
676133443 Frisbie, Edey 4.64 2020
651936679 Juncaj, Lolimar 0.89 2021
104914143 Heenan, Dwarka 1.06 2020
141871590 Ficenec, Nast 3.86 2020
606366308 Pizano, Jianyun 4.19 2020
469859278 Tessler, Moriba 2.87 2020
517765397 Dunny, Baldomera 1.91 2020
354556522 Sjolund, Charlotte 0.55 2021
488569495 Fugatt, Simoneta 3.39 2021
575515543 Barnette, Katiusca 4.85 2019
385189327 Sajorda, Josepa 4.91 2019
654645173 Adlam, Boarisch 1.14 2018
763831105 Ronsini, Atena 0.80 2019
789219167 Yanuaria, Solomia 1.19 2019
850584874 Faulkes, Benilda 4.98 2021
314353995 Ackles, Arezki 3.46 2021
337454105 Bargo, Raihana 3.36 2021
242037516 Dalpe, Christian 2.37 2021
262630591 Stratter, Tamra 2.45 2022
127226461 Chow, Paciana 0.18 2022
205360759 Gadd, Alae 2.66 2018
109232568 Berhe, Clarita 3.83 2021
530460416 Jemmings, Lauri 3.38 2018
913771420 Finks, Yailin 1.17 2019
429862123 Lischak, Fatoma 4.48 2022
590627123 Honsberger, Lelia 3.02 2022
611859256 Lamfers, Nuha 1.78 2019
820187313 Caldera, Susi 0.42 2019
138444913 Lords, Hades 1.62 2018
965551930 Sasala, Mher 4.36 2022
519575809 Ciminera, Libasse 1.79 2020
986457751 Ballmann, Eutilio 3.21 2018
327859435 Mickel, Denita 3.80 2018
684270211 Malbaurn, Ahitor 3.29 2019
532142972 Spratte, Rosemery 2.45 2019
859906958 Trillo, Albania 0.24 2022
893558017 Garf, Fabia 0.28 2019
162285509 Chasnoff, Oliviu 1.97 2019
781840351 Manker, Santina 3.72 2018
745950027 Adaway, Jakelin 3.45 2022
368793760 Cheung, Niceta 1.84 2022
566821074 Cossa, Dory 0.51 2022
529666899 Jacquot, Tornike 4.05 2022
186897806 Francoeur, Fakhar 3.66 2018
255886472 Savocchia, Romulo 3.00 2019
451047928 Sunier, Alby 3.29 2021
180262022 Bluto, Gran 3.13 2022
254301004 Engles, Yosu 3.10 2020
036414763 Edstrom, Cerca 3.30 2021
239832916 Kouri, Ivo 1.11 2018
771654551 Eroman, Nathanael 2.24 2021
301118047 Tarkowski, Mirian 1.09 2018
543997657 Franch, Hermeregildo 2.93 2021
308304892 Bremmer, Helmuth 0.54 2018
933652039 Klocek, Tonda 0.10 2020
781532827 Overholt, Beatris 3.39 2022
506324059 Featherston, Banessa 3.23 2019
360219421 Vogelsang, Necole 2.23 2019
235301987 Imler, Isusko 3.22 2019
141666392 Deyoe, Yumin 0.93 2020
296725775 Turchi, Leonte 1.31 2021
799300134 Fedorek, Yamilex 0.55 2018
724224329 Huor, Alfio 2.19 2020
793847652 Zacate, Sundus 0.56 2018
059005533 Hatley, Abdulai 0.19 2019
407976857 Manna, Csaba 2.07 2022
380319578 Vargus, Ayose 3.94 2018
434587988 Crisp, Colas 0.10 2020
528547031 Sobus, Yaqin 1.85 2021
828291712 Violette, Jinyan 0.48 2022
426116746 Moneypenny, Narek 4.38 2020
431891219 Hirschi, Segundo 1.84 2021
587853291 Foddrell, Villa 0.19 2020
322413714 Nunnenkamp, Lidiia 0.44 2021
766541188 Ostermeyer, Idan 1.65 2020
051360219 Gallegly, Iriome 2.90 2019
915372740 Graczyk, Yuwei 3.83 2021
089930502 Garnett, Raymundo 2.67 2019
218044090 Joyce, Tais 1.94 2019
455857415 Mendizabal, Giovani 2.32 2020
936049411 Stclair, Ninfa 0.41 2022
728497730 Menz, Bronislava 2.31 2019
484816929 Stratz, Gregoria 2.63 2022
186169719 Jilek, Darwin 3.77 2020
569615856 Carli, Altamira 4.36 2020
127751050 Zumalt, Roksana 1.72 2020
045657344 Pagett, Aliou 1.54 2019
499203127 Bergsma, Rochel 4.03 2018
215662801 Blasingame, Creuza 3.94 2019
576525680 Ranah, Grabiela 3.53 2022
878333202 Huckabee, Abraham 1.12 2018
658915512 Treffert, Nfamara 0.82 2019
660070561 Toalson, Myra 0.91 2021
664329409 Paz, Minh 3.75 2022
090385978 Dulemba, Holly 2.38 2020
752980114 Juluke, Joakin 4.77 2019
121919911 Garbarini, Aloma 2.10 2019
739052814 Nicklin, Sorkunde 3.74 2018
811790844 Houzah, Harsh 0.89 2020
095901101 Ploeger, Johana 3.30 2022
894603393 Irish, Stefania 1.92 2021
392958129 Mastera, Benemerito 3.57 2019
996355015 Warnke, Tianxiang 0.24 2019
186548127 Tertinek, Gigi 0.20 2021
610690962 Yannayon, Silvestra 3.02 2021
397988512 Reinhard, Peña 3.34 2018
806060306 Schwantes, Dimitrova 2.85 2021
982244929 Horvath, Yury 2.18 2020
806631819 Kuzma, Hebe 4.30 2020
033819933 Pignatello, Mariangeles 1.99 2021
529340356 Sharber, Jinsheng 3.69 2020
833701899 Pozzi, Trent 4.44 2022
053647093 Mccalop, Ouarda 0.65 2018
137530817 Yeddo, Deana 2.07 2019
968585471 Schweiner, Savu 3.69 2018
042354448 Hatchette, Aijuan 4.70 2018
852074553 Probert, Krysten 3.03 2018
207211187 Blender, Davor 1.72 2019
857223239 Houchin, Emely 2.88 2019
474042531 Robilotto, Samyra 0.19 2020
118588738 Iacono, Roxy 0.17 2018
675569421 Paluso, Marcelin 3.36 2020
181451076 Borkholder, Sahagun 1.49 2022
258826712 Bascom, Iftikhar 4.51 2020
419268983 Lafountaine, Zihara 4.09 2019
135903740 Hofmans, Aleena 1.49 2020
544464652 Gaylor, Meline 2.63 2021
936532608 Scinto, Constantin 0.94 2022
634374495 Morino, Andra 1.76 2021
879284076 Kimes, Xiaowei 4.66 2021
141370049 Mcfadin, Saidou 0.78 2019
913538788 Bitler, Rebeka 0.68 2018
027238297 Tamura, Fazal 3.56 2019
369757143 Fleck, Abdelkebir 4.28 2019
983277374 Fred, Faustina 2.74 2018
483999075 Galdamez, Romulo 4.13 2020
402140188 Villaverde, Matrikas 0.93 2019
626484944 Curriere, Dafne 0.42 2018
455239994 Baltzell, Nasima 0.44 2021
156327071 Iniestra, Joelle 4.83 2018
561021004 Sapper, Magdala 1.67 2022
810197535 Chahal, Khadijetou 1.93 2018
236674638 Liebermann, Anastassia 4.77 2021
342137782 Wigton, Nadjib 4.89 2022
991689229 Pelcher, Assan 0.02 2020
827941672 Dehaemers, Dario 0.40 2019
350104176 Lukes, Dairen 4.41 2020
614999435 Steudeman, Jamaal 2.00 2019
915087203 Bruzas, Primitivo 1.87 2018
411312142 Munerlyn, Venelin 4.42 2018
424484705 Locks, Nayima 0.66 2022
110146636 Sienkiewicz, Teri 2.03 2019
534681870 Trudelle, Santokh 1.52 2021
802162381 Lindbeck, Luztolde 2.35 2018
945131048 Atkins, Gift 1.20 2018
646170326 Fleeting, Maher 2.21 2018
330618687 Gerth, Roseane 1.47 2022
333589002 Beitz, Maitane 3.57 2021
036375020 Tillery, Mballo 4.99 2021
491867825 Chanley, Urbelina 3.40 2022
347754855 Duguay, Amilkar 0.38 2018
286318096 Burl, Avencio 4.47 2020
367534294 Spargur, Chakira 4.60 2020
722542383 Mcmenamy, Taida 0.66 2021
652581273 Easterling, Pencho 1.34 2019
153658678 Seith, Guofeng 2.08 2020
777871009 Mcroy, Juliette 3.74 2021
679672689 Ripka, Alona 4.56 2022
854997335 Archuleta, Mehran 3.39 2020
777123423 Eberheart, Jeremie 4.05 2019
818372931 Galinoo, Bulah 4.06 2019
321270879 Nulph, Lakeisha 1.06 2022
362671828 Sonderup, Orion 3.65 2022
167845122 Brancati, Ayse 0.03 2021
161160682 Pebbles, Danelly 3.80 2019
667483001 Plewa, Texeneri 0.63 2022
644588927 Robarge, Omayma 0.25 2018
645837407 Edmiston, Fatin 0.19 2020
128578602 Lizardi, Evodia 4.67 2022
443772747 Mykins, Selena 2.57 2022
754809614 Babbel, Karole 2.74 2020
224161911 Stuchlik, Edmar 2.30 2019
208289902 Tashiro, Elenice 3.65 2019
526491572 Pluym, Invencion 2.64 2019
858930176 Fowlar, Bassou 2.09 2020
103345859 Serandos, Mozella 4.57 2021
269064233 Dease, Yusein 2.75 2022
271011800 Mccarley, Dawne 2.43 2022
843016843 Remington, Pengcheng 0.51 2018
733151697 Tristan, Natale 1.52 2020
402731187 Pratley, Chuks 1.97 2021
529314714 Lamberton, Ouijdane 0.76 2022
608905620 Brewington, Avilio 4.43 2020
256381804 Falwell, Knarik 0.63 2018
418308365 Leash, Denna 4.41 2019
603152269 Mcgirr, Bassma 2.02 2021
839542725 Landeros, Rochdi 4.00 2022
263646132 Deglanville, Zoila 2.58 2022
812753004 Ullmann, Dora 1.97 2021
666301270 Cuddington, Mohssen 3.25 2020
486248351 Filpus, Dalal 2.81 2020
768063480 Wooddell, Benyamin 2.63 2019
927398288 Ramirez, Ishrat 0.58 2019
245987422 Cultice, Halim 1.10 2018
200477073 Robertos, Vanusa 3.97 2019
043385741 Brumm, Demetrius 0.75 2022
793059459 Tejeiro, Genma 0.93 2019
195760610 Ader, Sigifredo 1.04 2020
868347624 Foesch, Benaissa 0.68 2019
650174309 Sannella, Bacilio 2.45 2021
603707229 Niten, Hakima 3.45 2018
907832097 Hubric, Zehra 0.58 2021
788626427 Sward, Sander 4.75 2019
915199653 Olvey, Pavel 1.88 2019
472286703 Buggy, Wes 0.04 2018
699344468 Cumpston, Mohamedou 4.10 2020
635606961 Opher, Aitziber 0.21 2022
396493037 Snoots, Aia 3.09 2021
171724747 Pham, Arantxazu 0.35 2019
325511439 Frullate, Marivel 0.71 2018
437554363 Reveal, Hoa 1.63 2022
531700541 Laurole, Deanne 4.32 2021
595258875 Mcclane, Meifen 1.52 2018
515481271 Snowberger, Mabrouk 2.36 2019
034160265 Abel, Zina 3.16 2020
640762689 Endecott, Linette 4.33 2021
336838977 Kempt, Xiaofeng 2.27 2020
101466323 Bars, Corayma 2.94 2022
383439021 Ferringo, Merzouk 3.39 2020
306318471 Berkovich, Yufei 3.60 2020
728975198 Rosas, Ludivine 0.88 2022
317814528 Runco, Regan 4.47 2018
353288837 Kosinar, Demetria 4.93 2020
695498710 Why, Zineddine 1.85 2021
664887388 Hackman, Renea 0.85 2021
319510181 Centner, Conrado 4.58 2020
588349976 Parlee, Adelin 4.05 2020
335646539 Stilson, Isabelina 1.81 2019
679185241 Ednie, Marine 3.46 2020
777878759 Rickles, Kedarnath 4.84 2021
236404550 Kusick, Aouda 1.42 2021
390510357 Mccarrell, Ting 2.79 2019
402917634 Aspinall, Riahi 3.39 2021
861621623 Stolts, Reinhard 2.08 2018
804306765 Judson, Jhonatan 3.81 2020
719929997 Kahana, Roselle 0.31 2022
841735351 Feltman, Gospodin 0.75 2018
487071721 Tention, Rishabha 4.86 2021
270477502 Kocieda, Selma 4.41 2022
454604706 Solo, Kareen 1.77 2018
348161609 Mcdavid, Fidencia 2.18 2021
231114163 Justine, Lavon 4.65 2019
309842207 Schmeider, Jeffery 0.55 2020
330579132 Glovier, Rafa 0.32 2019
015408807 Gottemoeller, Ian 3.23 2020
111602203 Buenviaje, Georgieva 0.91 2019
992543732 Burkle, Enza 2.40 2021
535380495 Orear, Gamal 2.54 2021
741886321 Stalter, Haimin 0.29 2022
864220895 Grulke, Hershel 1.35 2021
440688292 Kottwitz, Cordia 4.68 2021
831206816 Kalata, Beauty 2.38 2022
282313756 Wischman, Mildred 2.59 2022
883478574 Gatrell, Adhemar 2.94 2021
326821114 Tibbles, Wilber 0.38 2021
564901822 Edwards, Fen 2.00 2018
076783245 Garwood, Sumiko 2.56 2022
215620307 Rysavy, Aglae 1.10 2020
386953652 Jaret, Zouhra 1.11 2018
136014882 Finwall, Luna 1.75 2020
324044960 Sauers, Dawne 2.63 2019
380608677 Pankowski, Aniel 3.45 2020
632887907 Kuster, Remo 2.80 2018
906853120 Nuckles, Zetta 4.16 2021
432382558 Allman, Marge 1.45 2018
106517484 Yuhasz, Yones 1.00 2020
879307087 Haaker, Riera 3.45 2019
452729534 Singson, Nicholle 3.31 2021
204794678 Federgreen, Serena 4.16 2020
471470867 Sendra, Chelsey 3.25 2018
159998734 Musemeche, Sviatoslav 0.65 2022
431796085 Palovick, Fana 3.29 2021
937850810 Sohns, Andreu 3.99 2018
394803079 Giannavola, Zhi 0.10 2021
042874482 Corless, Yeimy 1.97 2021
967810384 Huckabone, Salomia 0.46 2019
906416900 Maltba, Felicito 0.76 2020
943596953 Calliham, Adolfina 1.41 2018
578934812 Shaeffer, Marah 4.60 2022
628972224 Robarge, Pandava 1.40 2021
065078481 Nicoletta, Jasmine 2.04 2021
595350670 Wishum, Abdennour 1.48 2019
124617276 Yun, Anfisa 2.79 2020
834727250 Tack, Seckou 4.11 2022
378807057 Goncalves, Kristan 3.18 2018
717723536 Whitelaw, Haroa 3.12 2022
394806385 Quezad, Deetta 2.56 2021
704924380 Derian, Haijuan 1.72 2022
767221620 Theiler, Rquia 4.44 2019
435403027 Plumer, Merly 2.16 2018
879130474 Iwanejko, Marceli 2.30 2022
112537555 Olckhart, Zuleyma 3.76 2019
968831023 Phelp, Fedoua 1.71 2019
772976899 Mongomery, Amabilia 0.48 2021
568016396 Defalco, Quique 0.96 2021
309641908 Reising, Icram 0.79 2022
176751466 Staffen, Boguslaw 0.92 2022
771156593 Petru, Rachid 1.29 2019
465662716 Sween, Eligio 1.89 2019
948306815 Nicolini, Ileen 4.24 2021
502446361 Cotreau, Aser 1.96 2022
746551718 Millender, Cristin 2.43 2022
245576233 Mattsey, Ignasia 0.77 2021
417795692 Ridep, Godfrey 3.46 2019
081478638 Trischitta, Alfonso 3.86 2021
736210367 Agers, Shamira 3.70 2020
631629116 Zuccarelli, Sunil 4.44 2018
004155277 Steinback, Siyu 2.70 2021
626621405 Squibb, Yusimi 0.59 2019
947090623 Latam, Iskren 1.27 2022
937689736 Hamlette, Strahil 0.11 2019
990502942 Grussing, Renee 0.83 2019
106692578 Boissy, Lies 0.13 2021
329824023 Cumberledge, Sviatoslav 1.62 2022
265629223 Mccullars, Eluska 0.08 2022
020886918 Niesent, Golda 1.69 2020
437968252 Agner, Qamar 4.21 2018
300051282 Stimpert, Mostafa 4.60 2021
152010717 Maddin, Abdennabi 1.70 2021
405047912 Opray, Boubeker 2.89 2019
817179802 Kopsho, Oinatz 1.69 2018
210235167 Meaders, Yuming 4.23 2020
116934095 Beckworth, Costantin 0.31 2022
436152469 Neice, Leontin 0.74 2020
646976042 Zerring, Edmond 0.36 2019
400373990 Castruita, Nahila 2.50 2022
813691479 Cutts, Zella 4.80 2018
880579134 Betance, Dimitru 3.48 2020
854224933 Bollozos, Agenor 4.70 2021
149433194 Mollett, Fuad 0.39 2020
935634090 True, Afnan 0.36 2021
214164370 Jorrisch, Johanna 4.55 2020
196195947 Stramel, Nicolaie 1.28 2019
147756624 Tomanek, Lilit 1.37 2018
027743144 Monica, Maritza 2.24 2021
073475380 Mancinelli, Benjamin 1.76 2019
053995864 Losano, Daud 3.27 2019
910651253 Gira, Tunde 1.62 2019
538861070 Springston, Yasar 1.44 2022
634191362 Ciolek, Ahlame 2.71 2019
121009423 Isenberg, Senaida 1.95 2022
497433454 Clapsaddle, Dafne 1.73 2021
792248315 Resendiz, Pilar 4.68 2019
993591399 Ahrenstorff, Estudita 0.35 2019
910503171 Utsey, Juozas 0.08 2018
169237593 Hellmich, Rodolphe 3.24 2022
701059728 Farinas, Rauf 0.29 2020
418754435 Nakayama, Zhihong 1.75 2019
652074154 Shrigley, Tzvetan 0.51 2018
302815605 Shamas, Christin 3.85 2018
728349932 Cerna, Pascua 0.23 2019
224437245 Aloan, Yasen 1.78 2018
642119174 Auld, Isam 2.64 2019
061472458 Laurino, Khamssa 3.15 2021
147839491 Dade, Stefania 0.06 2021
795703445 Hocking, Louanne 1.64 2019
185933533 Cancelliere, Zeljko 0.18 2020
511428095 Spotorno, Oiher 1.09 2019
877422786 Kuhnen, Yara 4.15 2021
948850793 Goan, Yu 1.02 2019
623404547 Thomspon, Gorete 4.74 2020
176710778 Zarella, Rodovica 3.86 2020
302905063 Corle, Hiscio 2.67 2020
904914316 Sprung, Sterica 0.35 2018
334679313 Sunyich, Jaime 3.12 2018
561082241 Pedri, Arusyak 2.28 2021
135524308 Amescua, Toccara 4.12 2019
262763834 Paroda, Manoj 3.12 2018
847381351 Lewey, Jeremi 4.38 2019
865075626 Grochow, Ayshe 4.54 2019
860140853 Yournet, Yordana 3.84 2018
098886985 Dickey, Sirena 0.87 2022
664984852 Headland, Sharolyn 3.01 2020
894280953 Arney, Ruperta 0.52 2022
115536739 Huddelston, Malkhaz 3.30 2022
727870979 Spraberry, Aridane 1.21 2019
110462961 Kiester, Ulpiana 0.45 2022
836543973 Hoogheem, Khizar 1.26 2018
741762661 Steven, Gyongyver 3.71 2021
948362349 Schutjer, Akbar 1.89 2019
951627301 Miyares, Rosangela 4.16 2018
930619643 Dooms, Justyna 2.17 2021
760988863 Mcgibbon, Ania 4.39 2022
631094067 Tarrant, Merlita 1.48 2021
540575293 Vermette, Shalon 1.69 2019
110875235 Mocco, Kristal 4.76 2021
073361357 Fanelle, German 1.73 2019
805138697 Freemon, Rishi 4.05 2021
163048022 Morelli, Boudali 1.54 2021
336484208 Cicali, Christinia 1.08 2018
702112840 Balkus, Lingyong 4.17 2018
465677643 Suarez, Abdelelah 2.96 2021
524116111 Besler, Katelin 2.77 2021
453825694 Wakenight, Jianqiang 1.37 2021
118907384 Bobola, Araceli 0.98 2018
972800320 Bank, Andrews 0.36 2018
166954150 Eglinton, Mankilef 1.98 2018
002461835 Vasaure, Karrie 4.12 2018
088708167 Halton, Ranjeet 4.26 2019
541417817 Mcnolty, Aitziber 0.97 2020
199526622 Burdock, Shahida 3.61 2018
314618663 Lamy, Kizkitza 3.90 2022
068863133 Stampka, Samya 3.44 2020
603774211 Bartholomew, Amandino 0.41 2020
463800031 Sunier, Aidan 3.37 2021
422640229 Cazeault, Natashia 0.72 2022
293017587 Hetrick, Chahida 0.19 2020
255631664 Wortley, Teodosio 4.74 2020
416008547 Crickard, Jenise 4.18 2018
532582387 Juhas, Xiaoqin 0.62 2018
367148496 Degarmo, Gail 3.69 2019
430296349 Targett, Yedey 4.22 2020
257110267 Crumb, Categoria 4.79 2020
051467128 Sobczak, Idelisa 4.93 2022
305200145 Tackett, Adelayda 2.03 2018
403288817 Vayda, Milena 0.58 2019
818941527 Calcagno, Naoufal 3.47 2020
252040776 Tolfree, Analiza 1.72 2022
138116686 Klimavicius, Izolda 4.99 2022
225598170 Nickens, Liria 2.96 2019
220339441 Grossi, Aamir 1.70 2021
324619800 Koczur, Edil 0.12 2021
638372088 Holohan, Ayachi 0.97 2020
634778995 Beres, Andalucia 3.56 2022
269764350 Snopek, Bogumila 2.35 2018
393593135 Hild, Xueling 3.83 2018
031307557 Butscher, Zhongping 2.93 2019
448549436 Samber, Iber 0.01 2018
807284698 Ladick, Leda 1.74 2020
583499405 Milkey, Maelys 2.50 2020
477199926 Boom, Valerian 2.80 2020
551969028 Burtch, Nafisa 1.53 2019
876107676 Tepfer, Abdallahi 1.41 2021
003262213 Rosengren, Yongjun 4.38 2020
546354061 Aliberti, Abdelaziz 2.91 2018
158458933 Gerritsen, Etha 1.88 2018
946532537 Eiser, Anneliese 2.76 2018
837669183 Bohn, Thomasina 0.98 2020
900139842 Huard, Gaspar 0.13 2021
703997016 Jenks, Moncef 1.96 2021
085797753 Davia, Edey 1.20 2018
782286834 Sekerak, Marlucia 4.07 2021
177496440 Suite, Azzie 4.23 2019
713411516 Fahs, Mody 0.07 2022
457946751 Kilbourne, Jaskaran 1.08 2022
525689226 Monachino, Mounsif 1.99 2019
047454475 Boyington, Primitiva 1.76 2021
297621969 Mihaly, Antione 3.08 2018
610772505 Fenske, Amable 3.27 2018
160429582 Fray, Reyad 1.69 2022
